Job Title,Skills
ORACLE SQL DEVELOPER,"oracle sql, pl/sql, data modeling, database design"
PACKER ENGINEER,"packer, infrastructure as code, cloud computing, automation"
PHP DEVELOPER,"php, mysql, web development, frameworks (laravel, symfony)"
POWERSHELL ENGINEER,"powershell, automation, windows server administration, scripting"
PRINCIPLE ENGINEER IN ARTIFICIAL INTELLIGENCE,"ai/ml architecture, leadership, strategic planning, deep learning"
PRINCIPLE ENGINEER IN BIG DATA,"big data architecture, hadoop, spark, data warehousing"
PRINCIPLE ENGINEER IN DATA ANALYSIS,"data analysis, statistical modeling, data visualization, leadership"
PRINCIPLE ENGINEER IN MACHINE LEARNING,"machine learning algorithms, model development, deployment, leadership"
PRODUCT MANAGER,"product strategy, market analysis, requirements gathering, product roadmap"
PRODUCTION SUPPORT ENGINEER,"troubleshooting, incident management, system monitoring, technical support"
PUPPET OPERATIONS ENGINEER,"puppet, configuration management, automation, infrastructure as code"
SENIOR BUILD AND RELEASE ENGINEER,"ci/cd pipelines, build systems, automation, configuration management"
SENIOR BUILD ENGINEER,"build systems, scripting, automation, software configuration management"
SENIOR DEVOPS ENGINEER,"devops practices, cloud computing, automation, system architecture"
SITE RELIABILITY ENGINEER (KUBERNETES Ãâ¬Ã¯Â¿Â½ DOCKER),"kubernetes, docker, system reliability, automation, monitoring"
SPLUNK ENGINEER,"splunk, log management, data analysis, system monitoring"
XL DEPLOY ENGINEER,"xl deploy, deployment automation, devops practices, configuration management"
ZABBIX ENGINEER,"zabbix, system monitoring, network monitoring, alerting"
API DEVELOPER,"api design, restful services, programming languages, security"
AUTOMATION SPECIALIST,"automation tools, scripting, process improvement, testing"
BUSINESS INTELLIGENCE ANALYST,"data analysis, sql, data visualization, business acumen"
CLOUD MIGRATION SPECIALIST,"cloud platforms, migration tools, system migration, project management"
CYBERSECURITY ANALYST,"security protocols, threat analysis, compliance, incident response"
DATA QUALITY ENGINEER,"data quality tools, data profiling, sql, data governance"
DIGITAL TRANSFORMATION CONSULTANT,"digital strategy, technology consulting, business process improvement, change management"
E-COMMERCE DEVELOPER,"e-commerce platforms, web development, payment gateways, security"
EMBEDDED SYSTEMS ENGINEER,"embedded systems, c/c++, firmware development, hardware interfaces"
ERP CONSULTANT,"erp systems, business process analysis, implementation, training"
GEOGRAPHIC INFORMATION SYSTEMS (GIS) ANALYST,"gis software, spatial analysis, cartography, data visualization"
HELP DESK TECHNICIAN,"technical support, troubleshooting, customer service, hardware/software"
IDENTITY AND ACCESS MANAGEMENT SPECIALIST,"iam systems, security protocols, authentication, authorization"
INFRASTRUCTURE ARCHITECT,"system architecture, cloud computing, networking, security"
INTERNET OF THINGS (IoT) DEVELOPER,"iot platforms, embedded systems, sensor technology, programming languages"
IT AUDITOR,"it auditing, compliance, risk management, security"
JAVA ARCHITECT,"java, system architecture, design patterns, cloud computing"
LINUX ADMINISTRATOR,"linux servers, system administration, scripting, troubleshooting"
MAINFRAME DEVELOPER,"mainframe systems, cobol, jcl, vsam"
MICROSOFT DYNAMICS DEVELOPER,"microsoft dynamics, crm, .net, development"
MOBILE SECURITY SPECIALIST,"mobile security, penetration testing, security protocols, risk management"
NATURAL LANGUAGE PROCESSING ENGINEER,"nlp algorithms, python, machine learning, text analysis"
NETWORK ARCHITECT,"network design, network protocols, security, system architecture"
PENETRATION TESTER,"penetration testing, security audits, ethical hacking, vulnerability assessment"
PYTHON ARCHITECT,"python, system architecture, design patterns, cloud computing"
QUALITY ASSURANCE MANAGER,"qa processes, test automation, test planning, team leadership"
RELEASE MANAGER,"release management, ci/cd pipelines, coordination, communication"
SAP CONSULTANT,"sap modules, business process analysis, implementation, customization"
UX/UI DESIGNER,"ux/ui design, user research, prototyping, usability testing"
WEB DEVELOPER,"html, css, javascript, web development, frameworks"
BACK END DEVELOPER,"server-side programming, databases, api development, frameworks"
WEB DESIGNER,"web design, graphic design, ui/ux principles, wireframing"
WEB ENGINEER,"web technologies, system architecture, performance optimization, security"
WEB PRODUCER,"web content management, project management, content strategy, collaboration"
WEB PROJECT MANAGER,"project management, web development, communication, budgeting"
WEB CONTENT MANAGER,"content creation, content strategy, cms, seo"
MULTIMEDIA ARCHITECT,"multimedia design, video production, audio production, graphic design"
WEB ANALYTICS DEVELOPER,"web analytics tools, data analysis, reporting, a/b testing"
SEO CONSULTANT,"search engine optimization, keyword research, content optimization, link building"
SEO MANAGER,"seo strategy, team leadership, performance monitoring, reporting"
INTERNET ENGINEER,"networking protocols, internet technologies, system administration, security"
FRONT-END DESIGNER,"html, css, javascript, ui/ux design, responsive design"
MOBILE DEVELOPER,"mobile app development, ios/android sdks, ui/ux design, programming languages"
PYTHON DEVELOPER,"python, web frameworks (django, flask), data analysis, scripting"
POWER BI DEVELOPER,"power bi, data modeling, dax, data visualization"
POWER BI ANALYST,"power bi, data analysis, sql, business intelligence"
CLOUD COMPUTING SPECIALIST,"cloud platforms, virtualization, system administration, security"
CYBERSECURITY SPECIALIST,"security protocols, threat analysis, compliance, incident response"
DATA SCIENCE SPECIALIST,"data analysis, machine learning, statistical modeling, data visualization"
ARTIFICIAL INTELLIGENCE ENGINEER,"ai/ml algorithms, python, deep learning, neural networks"
DATABASE ARCHITECT,"database design, data modeling, sql, performance tuning"
SOFTWARE ARCHITECT,"system architecture, design patterns, programming languages, cloud computing"
CYBERSECURITY ENGINEER,"security protocols, threat analysis, risk management, incident response"
INFOSEC ANALYST/CYBERSECURITY ANALYST,"security protocols, threat analysis, compliance, incident response"
COMPUTER FORENSIC ANALYST,"digital forensics, incident response, data recovery, legal compliance"
IT SECURITY SPECIALIST,"security protocols, threat analysis, compliance, risk management"
SECURITY MANAGER,"security management, risk assessment, compliance, team leadership"
SECURITY ENGINEER,"security protocols, threat analysis, risk management, incident response"
SECURITY CONSULTANT,"security consulting, risk assessment, compliance, security solutions"
DIRECTOR OF SECURITY,"security leadership, risk management, compliance, incident response"
SECURITY ADMINISTRATOR,"security tools, system administration, user management, security policies"
SECURITY SPECIALIST,"security protocols, threat analysis, compliance, risk management"
CHIEF INFORMATION OFFICER,"it strategy, leadership, budgeting, project management"
NETWORK SECURITY ENGINEER,"networking protocols, security protocols, firewall management, intrusion detection"
MACHINE LEARNING ENGINEER FOR CYBERSECURITY,"machine learning algorithms, cybersecurity, data analysis, threat detection"
NETWORK ANALYST,"network monitoring, troubleshooting, performance analysis, reporting"
NETWORK OPERATIONS ENGINEER,"network operations, troubleshooting, monitoring, incident response"
NETWORK RELIABILITY ENGINEER,"network reliability, automation, monitoring, incident response"
NETWORK INFRASTRUCTURE SPECIALIST,"networking hardware, cabling, network design, implementation"
COMPUTER SUPPORT SPECIALIST,"technical support, troubleshooting, customer service, hardware/software"
INFORMATION TECHNOLOGY ANALYST,"it analysis, requirements gathering, process improvement, it consulting"
TECHNOLOGY SALES CONSULTANT,"sales, technology solutions, customer relationship management, technical expertise"
DATABASE DEVELOPER,"database development, sql, pl/sql, data modeling"
DATABASE ANALYST,"data analysis, sql, data modeling, reporting"
DATA WAREHOUSE MANAGER,"data warehousing, etl processes, data modeling, team leadership"
DATA WAREHOUSE PROGRAMMING SPECIALIST,"etl processes, sql, data modeling, data warehousing"
INTELLIGENCE SPECIALIST,"data analysis, intelligence gathering, reporting, security"
CLOUD/SOFTWARE ARCHITECT,"cloud platforms, system architecture, cloud security, devops"
CLOUD/SOFTWARE DEVELOPER,"cloud platforms, programming languages, software development, cloud services"
CLOUD/SOFTWARE APPLICATIONS ENGINEER,"cloud platforms, application development, cloud services, devops"
CLOUD SYSTEM ADMINISTRATOR,"cloud platforms, system administration, virtualization, networking"
CLOUD SYSTEM ENGINEER,"cloud platforms, system engineering, automation, scripting"
PLATFORM ENGINEER,"platform engineering, cloud computing, automation, devops practices"
SOFTWARE QUALITY ASSURANCE ANALYST,"qa processes, test planning, test execution, reporting"
UI (USER INTERFACE) DESIGNER,"ui design, user research, prototyping, usability testing"
TECHNICAL ACCOUNT MANAGER,"customer relationship management, technical support, account management, sales"
IT SALES EXECUTIVE,"sales, technology solutions, customer relationship management, sales strategy"
IT SALES DIRECTOR,"sales leadership, sales strategy, customer relationship management, team management"
TECHNOLOGY MANAGER,"it management, team leadership, project management, budgeting"
TECHNOLOGY ASSISTANT,"technical support, administrative support, hardware/software, troubleshooting"
TECHNOLOGY SPECIALIST,"technical expertise, problem solving, troubleshooting, it support"
DIRECTOR ORACLE,"oracle database, team leadership, project management, budgeting"
KNOWLEDGE MANAGER,"knowledge management, information architecture, collaboration, documentation"
MANAGER HARDWARE,"hardware management, team leadership, budgeting, inventory management"
SHAREPOINT MANAGER,"sharepoint, team leadership, project management, collaboration"
REQUIREMENTS MANAGER,"requirements gathering, analysis, documentation, communication"
IMPLEMENTATION DIRECTOR,"implementation management, project management, team leadership, communication"
TECHNOLOGY OFFICER,"it strategy, leadership, innovation, project management"
DIRECTOR BUSINESS SYSTEMS,"business systems, team leadership, project management, process improvement"
MANAGER NET,"net development, team leadership, project management, .net framework"
SYSTEMS INTEGRATION MANAGER,"systems integration, project management, team leadership, communication"
DIGITAL PROGRAM MANAGER,"digital strategy, program management, team leadership, communication"
INTEGRATION DIRECTOR,"integration management, project management, team leadership, communication"
DIRECTOR HARDWARE,"hardware management, team leadership, budgeting, strategic planning"
MANAGER LINUX,"linux administration, team leadership, project management, troubleshooting"
MANAGER PHP,"php development, team leadership, project management, web development"
FIRMWARE MANAGER,"firmware development, team leadership, project management, embedded systems"
IT PROGRAM ENGAGEMENT DIRECTOR,"it program management, customer relationship management, stakeholder management, team leadership"
MANAGER UNIX,"unix administration, team leadership, project management, troubleshooting"
TECHNOLOGY ADOPTION MANAGER,"technology adoption, training, communication, change management"
IT SUPPORT SPECIALIST,"technical support, troubleshooting, customer service, hardware/software"
CUSTOMER SERVICE REPRESENTATIVE,"customer service, communication, problem solving, technical support"
TECHNICAL PRODUCT MANAGER,"product management, technical expertise, market analysis, requirements gathering"
PROJECT MANAGER,"project management, planning, execution, communication"
PROGRAM MANAGER,"program management, planning, execution, communication"
PORTFOLIO MANAGER,"portfolio management, investment management, risk management, financial analysis"
CHIEF INFORMATION OFFICER (CIO),"it strategy, leadership, budgeting, project management"
CHIEF TECHNOLOGY OFFICER (CTO),"technology strategy, innovation, research and development, team leadership"
IT DIRECTOR,"it management, team leadership, budgeting, project management"
TECHNICAL OPERATIONS OFFICER,"technical operations, infrastructure management, system administration, incident response"
INFORMATION MANAGEMENT SYSTEMS DIRECTOR,"information management, systems administration, data management, compliance"
SENIOR IT CONSULTANT,"it consulting, project management, technical expertise, client management"
TECHNICAL LEAD,"technical leadership, software development, team leadership, mentoring"
IT APPRENTICE,"technical support, troubleshooting, learning agility, customer service"
IT TECHNICIAN,"technical support, troubleshooting, hardware/software, networking"
IT SYSTEMS ADMINISTRATOR,"system administration, linux/windows servers, troubleshooting, scripting"
IT ENGINEER,"system engineering, networking, cloud computing, security"
COMPUTER NETWORK SPECIALIST,"networking, troubleshooting, system administration, security"
COMPUTER AND INFORMATION RESEARCH SCIENTIST,"research methodologies, data analysis, programming, scientific writing"
COMPUTER AND INFORMATION RESEARCH MANAGER,"research management, team leadership, budgeting, project management"
SOFTWARE DEVELOPMENT MANAGER,"software development, team leadership, project management, software architecture"
SOFTWARE DEVELOPMENT ENGINEER,"software development, programming languages, algorithm design, problem solving"
APPLICATION DESIGNER,"application design, ui/ux principles, programming languages, software architecture"
APPLICATION ENGINEER,"application development, programming languages, troubleshooting, system administration"
LEAD PROGRAMMER,"programming languages, software development, team leadership, mentoring"
ITERATION MANAGER,"agile methodologies, scrum, kanban, team facilitation"
WEBMASTER,"web development, web design, system administration, content management"
UX/UI RESEARCHER,"user research, usability testing, data analysis, reporting"
UX/UI SPECIALIST,"ux/ui design, user research, prototyping, usability testing"
ANIMATOR,"animation software, 2d/3d animation, storyboarding, visual effects"
MOTION GRAPHICS ARTIST,"motion graphics, animation software, visual effects, graphic design"
2D ARTIST/ANIMATOR,"2d animation, drawing, illustration, animation software"
3D ARTIST/ANIMATOR,"3d animation, modeling, texturing, rigging"
CHARACTER DESIGNER,"character design, illustration, drawing, animation"
STORYBOARD ARTIST,"storyboarding, drawing, visual communication, film/animation"
VFX ARTIST,"visual effects, compositing, 3d modeling, simulation"
RIGGING ARTIST,"rigging, animation, 3d modeling, character setup"
TECHNICAL ANIMATOR,"technical animation, scripting, programming, animation software"
ART DIRECTOR,"art direction, visual design, team leadership, project management"
ANIMATION DIRECTOR,"animation direction, storytelling, team leadership, project management"
VISUAL EFFECTS ANIMATOR,"visual effects, animation, compositing, 3d modeling"
GRAPHIC EFFECTS SUPERVISOR,"visual effects supervision, team leadership, technical expertise, project management"
FORENSIC ANIMATOR,"forensic animation, 3d modeling, legal expertise, visual communication"
COMPOSITOR,"compositing, visual effects, color correction, image manipulation"
EFFECTS TECHNICAL DIRECTOR (FX TD),"visual effects, technical expertise, scripting, problem solving"
LAYOUT ARTIST,"layout, cinematography, 3d modeling, visual storytelling"
AI RESEARCHER,"ai/ml algorithms, python, research methodologies, data analysis"
AI SOFTWARE ARCHITECT,"ai/ml architecture, software design, cloud computing, data modeling"
BUSINESS INTELLIGENCE DEVELOPER,"business intelligence tools, data modeling, sql, etl processes"
